Year,Year ending,Police Region,Local Government Area,LGA,Offence Count,"Rate per 100,000 population"
2011,June,4 Western, Hindmarsh,HINDMARSH,175,2988
2011,June,4 Western, Horsham,HORSHAM,1826,9353
2011,June,4 Western, Loddon,LODDON,394,5221
2011,June,4 Western, Macedon Ranges,MACEDON RANGES,1581,3687
2011,June,4 Western, Mildura,MILDURA,5687,10974
2011,June,4 Western, Moorabool,MOORABOOL,1293,4510
2011,June,4 Western, Mount Alexander,MOUNT ALEXANDER,852,4767
2011,June,4 Western, Moyne,MOYNE,536,3315
2011,June,4 Western, Northern Grampians,NORTHERN GRAMPIANS,1037,8603
2011,June,4 Western, Pyrenees,PYRENEES,262,3876
2011,June,4 Western, Queenscliffe,QUEENSCLIFFE,133,4345
2011,June,4 Western, Southern Grampians,SOUTHERN GRAMPIANS,989,5968
2011,June,4 Western, Surf Coast,SURF COAST,1109,4159
2011,June,4 Western, Swan Hill,SWAN HILL,1892,9068
2011,June,4 Western, Warrnambool,WARRNAMBOOL,2991,9156
2011,June,4 Western, West Wimmera,WEST WIMMERA,104,2426
2011,June,4 Western, Yarriambiack,YARRIAMBIACK,293,4079
2011,June,4 Western,Total,TOTAL,60661,6726
2011,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,917,
2011,June,Justice Institutions and Immigration Facilities,Total,TOTAL,917,
2011,June,Unincorporated Vic, Unincorporated Vic,UNINCORPORATED VIC,183,
2011,June,Unincorporated Vic,Total,TOTAL,183,
