Year,Year ending,Police Region,Local Government Area,LGA,Offence Count,"Rate per 100,000 population"
2019,June,4 Western, Hindmarsh,HINDMARSH,360,6442
2019,June,4 Western, Horsham,HORSHAM,2725,13679
2019,June,4 Western, Loddon,LODDON,483,6437
2019,June,4 Western, Macedon Ranges,MACEDON RANGES,2496,4969
2019,June,4 Western, Mildura,MILDURA,7205,12918
2019,June,4 Western, Moorabool,MOORABOOL,2222,6340
2019,June,4 Western, Mount Alexander,MOUNT ALEXANDER,1103,5584
2019,June,4 Western, Moyne,MOYNE,637,3757
2019,June,4 Western, Northern Grampians,NORTHERN GRAMPIANS,996,8735
2019,June,4 Western, Pyrenees,PYRENEES,638,8539
2019,June,4 Western, Queenscliffe,QUEENSCLIFFE,136,4626
2019,June,4 Western, Southern Grampians,SOUTHERN GRAMPIANS,1386,8609
2019,June,4 Western, Surf Coast,SURF COAST,1176,3515
2019,June,4 Western, Swan Hill,SWAN HILL,2609,12635
2019,June,4 Western, Warrnambool,WARRNAMBOOL,3885,11043
2019,June,4 Western, West Wimmera,WEST WIMMERA,179,4660
2019,June,4 Western, Yarriambiack,YARRIAMBIACK,406,6115
2019,June,4 Western,Total,TOTAL,84494,8356
2019,June,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities,JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,2874,
2019,June,Justice Institutions and Immigration Facilities,Total,TOTAL,2874,
2019,June,Unincorporated Vic, Unincorporated Vic,UNINCORPORATED VIC,149,
2019,June,Unincorporated Vic,Total,TOTAL,149,
2018,June,1 North West Metro, Banyule,BANYULE,9688,7438
2018,June,1 North West Metro, Brimbank,BRIMBANK,18425,8827
2018,June,1 North West Metro, Darebin,DAREBIN,14677,9079
2018,June,1 North West Metro, Hobsons Bay,HOBSONS BAY,6028,6248
2018,June,1 North West Metro, Hume,HUME,20217,9008
2018,June,1 North West Metro, Maribyrnong,MARIBYRNONG,8297,9076
2018,June,1 North West Metro, Melbourne,MELBOURNE,37497,22016
2018,June,1 North West Metro, Melton,MELTON,10781,6879
2018,June,1 North West Metro, Moonee Valley,MOONEE VALLEY,8837,6909
2018,June,1 North West Metro, Moreland,MORELAND,13678,7524
2018,June,1 North West Metro, Nillumbik,NILLUMBIK,2195,3380
2018,June,1 North West Metro, Whittlesea,WHITTLESEA,15406,6898
2018,June,1 North West Metro, Wyndham,WYNDHAM,14037,5497
2018,June,1 North West Metro, Yarra,YARRA,13788,13988
2018,June,1 North West Metro,Total,TOTAL,193551,8830
2018,June,2 Eastern, Alpine,ALPINE,500,3928
2018,June,2 Eastern, Bass Coast,BASS COAST,2170,6143
2018,June,2 Eastern, Baw Baw,BAW BAW,4078,7840
2018,June,2 Eastern, Benalla,BENALLA,1308,9328
2018,June,2 Eastern, Boroondara,BOROONDARA,6852,3778
2018,June,2 Eastern, East Gippsland,EAST GIPPSLAND,4374,9343
2018,June,2 Eastern, Greater Shepparton,GREATER SHEPPARTON,8354,12656
2018,June,2 Eastern, Indigo,INDIGO,411,2493
2018,June,2 Eastern, Knox,KNOX,11353,6956
2018,June,2 Eastern, Latrobe,LATROBE,13894,18474
2018,June,2 Eastern, Manningham,MANNINGHAM,4708,3750
2018,June,2 Eastern, Mansfield,MANSFIELD,585,6515
2018,June,2 Eastern, Maroondah,MAROONDAH,7955,6770
2018,June,2 Eastern, Mitchell,MITCHELL,4401,9935
2018,June,2 Eastern, Moira,MOIRA,1979,6642
2018,June,2 Eastern, Monash,MONASH,10729,5359
2018,June,2 Eastern, Murrindindi,MURRINDINDI,731,5049
2018,June,2 Eastern, South Gippsland,SOUTH GIPPSLAND,1366,4619
2018,June,2 Eastern, Strathbogie,STRATHBOGIE,592,5562
2018,June,2 Eastern, Towong,TOWONG,207,3419
2018,June,2 Eastern, Wangaratta,WANGARATTA,2356,8100
2018,June,2 Eastern, Wellington,WELLINGTON,3698,8401
2018,June,2 Eastern, Whitehorse,WHITEHORSE,8133,4614
